Kode,Nama
CBETH-USD,Coinbase Wrapped Staked ETH
BLUR-USD,Blur
FRAX-USD,Frax
HNT-USD,Helium
TRUMP27872-USD,MAGA
PRIME23711-USD,Echelon Prime
SFRXETH-USD,Frax Staked Ether
TFUEL-USD,Theta Fuel
WOO-USD,WOO
XAUT-USD,Tether Gold
BTG-USD,Bitcoin Gold
MANTA-USD,Manta Network
1INCH-USD,1inch Network
CRV-USD,Curve DAO Token
OSMO-USD,Osmosis
MEME28301-USD,Memecoin
AERO29270-USD,Aerodrome Finance
IOTX-USD,IoTeX
XDC-USD,XDC Network
OM-USD,MANTRA
ETHFI-USD,ether.fi
ARKM-USD,Arkham
LUNA20314-USD,Terra
FTT-USD,FTX Token
OCEAN-USD,Ocean Protocol
TWT-USD,Trust Wallet Token
ENJ-USD,Enjin Coin
GLM-USD,Golem
TUSD-USD,TrueUSD
COMP5692-USD,Compound
MOG-USD,Mog Coin
ETHDYDX-USD,dYdX (ethDYDX)
ASTR-USD,Astar
ETHX-USD,Stader ETHx
RSWETH-USD,Restaked Swell Ethereum
SUPER8290-USD,SuperVerse
GMT18069-USD,GMT
RBN-USD,Ribbon Finance
RAY-USD,Raydium
WEMIX-USD,WEMIX
NFT9816-USD,APENFT
RPL-USD,Rocket Pool
CELO-USD,Celo
MX-USD,MX TOKEN
ZEC-USD,Zcash
SSV-USD,ssv.network
JTO-USD,Jito
ZIL-USD,Zilliqa
SKL-USD,SKALE
ZRX-USD,0x Protocol
METIS-USD,Metis
PAXG-USD,PAX Gold
DYM-USD,Dymension
ANKR-USD,Ankr
GAL11877-USD,Galxe
POPCAT28782-USD,Popcat (SOL)
